model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForest_r166_BAG_L1_FULL,-5.687715416085575,,root_mean_squared_error,0.01983785629272461,,0.22945618629455566,0.01983785629272461,,0.22945618629455566,1,True,179
RandomForest_r15_BAG_L1_FULL,-5.948801439825779,,root_mean_squared_error,0.01682305335998535,,0.38369321823120117,0.01682305335998535,,0.38369321823120117,1,True,184
ExtraTrees_r49_BAG_L1_FULL,-6.088606716880559,,root_mean_squared_error,0.02184605598449707,,0.19894981384277344,0.02184605598449707,,0.19894981384277344,1,True,159
RandomForest_r127_BAG_L1_FULL,-7.0744831727534425,,root_mean_squared_error,0.015115022659301758,,0.3572690486907959,0.015115022659301758,,0.3572690486907959,1,True,161
NeuralNetTorch_r22_BAG_L1_FULL,-7.081958474012461,,root_mean_squared_error,0.0038030147552490234,,1.1676359176635742,0.0038030147552490234,,1.1676359176635742,1,True,123
LightGBM_r135_BAG_L1_FULL,-7.173179931889891,,root_mean_squared_error,0.002117156982421875,,0.45564699172973633,0.002117156982421875,,0.45564699172973633,1,True,185
NeuralNetTorch_r71_BAG_L1_FULL,-7.255470951548477,,root_mean_squared_error,0.0031409263610839844,,0.2717750072479248,0.0031409263610839844,,0.2717750072479248,1,True,176
NeuralNetTorch_r121_BAG_L1_FULL,-7.341298540791726,,root_mean_squared_error,0.004848957061767578,,2.3921051025390625,0.004848957061767578,,2.3921051025390625,1,True,195
LightGBM_r130_BAG_L1_FULL,-7.426378014551547,,root_mean_squared_error,0.001714944839477539,,0.2882349491119385,0.001714944839477539,,0.2882349491119385,1,True,134
NeuralNetFastAI_r138_BAG_L1_FULL,-7.521092134513903,,root_mean_squared_error,0.004410982131958008,,0.6926851272583008,0.004410982131958008,,0.6926851272583008,1,True,189
NeuralNetTorch_r87_BAG_L1_FULL,-7.628497869984968,,root_mean_squared_error,0.00432896614074707,,1.0833358764648438,0.00432896614074707,,1.0833358764648438,1,True,175
NeuralNetTorch_r86_BAG_L1_FULL,-7.896556830393457,,root_mean_squared_error,0.003564119338989258,,0.3642430305480957,0.003564119338989258,,0.3642430305480957,1,True,135
LightGBM_r30_BAG_L1_FULL,-7.911230372525071,,root_mean_squared_error,0.004770040512084961,,1.2890257835388184,0.004770040512084961,,1.2890257835388184,1,True,172
NeuralNetFastAI_r145_BAG_L1_FULL,-7.919803032228914,,root_mean_squared_error,0.005357027053833008,,0.3538401126861572,0.005357027053833008,,0.3538401126861572,1,True,131
NeuralNetFastAI_r111_BAG_L1_FULL,-8.116667347979357,,root_mean_squared_error,0.00542902946472168,,0.6614909172058105,0.00542902946472168,,0.6614909172058105,1,True,167
NeuralNetFastAI_r127_BAG_L1_FULL,-8.185760612186566,,root_mean_squared_error,0.005809307098388672,,0.6057877540588379,0.005809307098388672,,0.6057877540588379,1,True,196
LightGBMXT_BAG_L1_FULL,-8.205946137815552,,root_mean_squared_error,0.001542806625366211,,0.47422099113464355,0.001542806625366211,,0.47422099113464355,1,True,108
NeuralNetTorch_r185_BAG_L1_FULL,-8.329706531132347,,root_mean_squared_error,0.004882097244262695,,1.1708762645721436,0.004882097244262695,,1.1708762645721436,1,True,181
NeuralNetTorch_r36_BAG_L1_FULL,-8.347575927283943,,root_mean_squared_error,0.003922939300537109,,1.1039819717407227,0.003922939300537109,,1.1039819717407227,1,True,203
NeuralNetFastAI_r69_BAG_L1_FULL,-8.37453046040361,,root_mean_squared_error,0.004686117172241211,,0.21926403045654297,0.004686117172241211,,0.21926403045654297,1,True,187
NeuralNetTorch_r31_BAG_L1_FULL,-8.4091974943788,,root_mean_squared_error,0.003144979476928711,,0.3039829730987549,0.003144979476928711,,0.3039829730987549,1,True,168
LightGBM_r94_BAG_L1_FULL,-8.525571031027274,,root_mean_squared_error,0.002724885940551758,,0.5281388759613037,0.002724885940551758,,0.5281388759613037,1,True,164
WeightedEnsemble_L2,-8.656726453077882,-8.656726453077882,root_mean_squared_error,0.07390522956848145,0.178178071975708,12.722539901733398,0.0005540847778320312,0.00026798248291015625,0.005923032760620117,2,True,107
NeuralNetTorch_r76_BAG_L1_FULL,-8.700443411252987,,root_mean_squared_error,0.0036132335662841797,,0.41026806831359863,0.0036132335662841797,,0.41026806831359863,1,True,193
NeuralNetTorch_r158_BAG_L1,-8.70550085818987,-8.70550085818987,root_mean_squared_error,0.03629422187805176,0.03539299964904785,6.090498924255371,0.03629422187805176,0.03539299964904785,6.090498924255371,1,True,47
