model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_r31_BAG_L1_FULL,-20.50522426199486,,root_mean_squared_error,0.002240896224975586,,0.3043060302734375,0.002240896224975586,,0.3043060302734375,1,True,168
NeuralNetFastAI_r156_BAG_L1_FULL,-21.16355336095829,,root_mean_squared_error,0.004166841506958008,,0.7537250518798828,0.004166841506958008,,0.7537250518798828,1,True,146
NeuralNetFastAI_r69_BAG_L1_FULL,-21.232276524383845,,root_mean_squared_error,0.003525257110595703,,0.23568415641784668,0.003525257110595703,,0.23568415641784668,1,True,187
NeuralNetFastAI_r134_BAG_L1_FULL,-21.240044885552,,root_mean_squared_error,0.006225109100341797,,1.600391149520874,0.006225109100341797,,1.600391149520874,1,True,162
NeuralNetFastAI_r65_BAG_L1_FULL,-21.4006409576279,,root_mean_squared_error,0.004137992858886719,,0.6087250709533691,0.004137992858886719,,0.6087250709533691,1,True,170
NeuralNetFastAI_r37_BAG_L1_FULL,-21.718820125688307,,root_mean_squared_error,0.0055389404296875,,1.5654137134552002,0.0055389404296875,,1.5654137134552002,1,True,156
NeuralNetFastAI_r11_BAG_L1_FULL,-21.99524951538754,,root_mean_squared_error,0.004078865051269531,,0.4721641540527344,0.004078865051269531,,0.4721641540527344,1,True,137
NeuralNetFastAI_r194_BAG_L1_FULL,-22.0375648040206,,root_mean_squared_error,0.0035250186920166016,,0.2512052059173584,0.0035250186920166016,,0.2512052059173584,1,True,198
NeuralNetFastAI_r88_BAG_L1_FULL,-22.07721289945251,,root_mean_squared_error,0.004602909088134766,,0.8827440738677979,0.004602909088134766,,0.8827440738677979,1,True,171
NeuralNetTorch_r135_BAG_L1_FULL,-22.101041677090727,,root_mean_squared_error,0.004199981689453125,,1.4425318241119385,0.004199981689453125,,1.4425318241119385,1,True,200
NeuralNetFastAI_r187_BAG_L1_FULL,-22.422782031626742,,root_mean_squared_error,0.004379987716674805,,1.1367690563201904,0.004379987716674805,,1.1367690563201904,1,True,207
NeuralNetFastAI_r111_BAG_L1_FULL,-22.653860812005476,,root_mean_squared_error,0.005230903625488281,,0.8347032070159912,0.005230903625488281,,0.8347032070159912,1,True,167
NeuralNetTorch_r87_BAG_L1_FULL,-23.033345381628976,,root_mean_squared_error,0.0027959346771240234,,1.4362890720367432,0.0027959346771240234,,1.4362890720367432,1,True,175
ExtraTrees_r4_BAG_L1_FULL,-23.538792043431293,,root_mean_squared_error,0.01624131202697754,,0.13635492324829102,0.01624131202697754,,0.13635492324829102,1,True,169
RandomForest_r34_BAG_L1_FULL,-23.72103323914692,,root_mean_squared_error,0.017770051956176758,,0.23447585105895996,0.017770051956176758,,0.23447585105895996,1,True,163
NeuralNetFastAI_r102_BAG_L1_FULL,-24.048402641928067,,root_mean_squared_error,0.005173921585083008,,0.6688151359558105,0.005173921585083008,,0.6688151359558105,1,True,127
NeuralNetFastAI_r143_BAG_L1_FULL,-24.309236478981077,,root_mean_squared_error,0.00511622428894043,,1.0457820892333984,0.00511622428894043,,1.0457820892333984,1,True,144
NeuralNetFastAI_r4_BAG_L1_FULL,-24.41539793459343,,root_mean_squared_error,0.0025789737701416016,,0.12159919738769531,0.0025789737701416016,,0.12159919738769531,1,True,201
NeuralNetFastAI_r127_BAG_L1_FULL,-25.448673022061328,,root_mean_squared_error,0.004235982894897461,,0.552170991897583,0.004235982894897461,,0.552170991897583,1,True,196
NeuralNetFastAI_r103_BAG_L1,-25.500860403782998,-25.500860403782998,root_mean_squared_error,0.024579763412475586,0.08437776565551758,4.225353956222534,0.024579763412475586,0.08437776565551758,4.225353956222534,1,True,34
WeightedEnsemble_L2,-25.500860403782998,-25.500860403782998,root_mean_squared_error,0.025044679641723633,0.08450102806091309,4.228216886520386,0.0004649162292480469,0.0001232624053955078,0.0028629302978515625,2,True,107
NeuralNetFastAI_r160_BAG_L1,-25.902139455289003,-25.902139455289003,root_mean_squared_error,0.026590824127197266,0.11250567436218262,4.473803997039795,0.026590824127197266,0.11250567436218262,4.473803997039795,1,True,75
ExtraTrees_r4_BAG_L1,-26.197442297238936,-26.197442297238936,root_mean_squared_error,0.01813983917236328,0.014729022979736328,0.19967126846313477,0.01813983917236328,0.014729022979736328,0.19967126846313477,1,True,62
XGBoost_r33_BAG_L1,-26.20820319404778,-26.20820319404778,root_mean_squared_error,0.02823472023010254,0.04868817329406738,7.5790159702301025,0.02823472023010254,0.04868817329406738,7.5790159702301025,1,True,17
XGBoost_r194_BAG_L1,-26.312394474053956,-26.312394474053956,root_mean_squared_error,0.023786306381225586,0.07540702819824219,4.561097860336304,0.023786306381225586,0.07540702819824219,4.561097860336304,1,True,31
LightGBMLarge_BAG_L1,-26.320996663942214,-26.320996663942214,root_mean_squared_error,0.0063228607177734375,0.01897573471069336,3.2774767875671387,0.0063228607177734375,0.01897573471069336,3.2774767875671387,1,True,9
XGBoost_BAG_L1,-26.340252547636116,-26.340252547636116,root_mean_squared_error,0.019776105880737305,0.05528903007507324,3.1493079662323,0.019776105880737305,0.05528903007507324,3.1493079662323,1,True,7
NeuralNetFastAI_r143_BAG_L1,-26.380869862783367,-26.380869862783367,root_mean_squared_error,0.03560614585876465,0.12873578071594238,5.619434118270874,0.03560614585876465,0.12873578071594238,5.619434118270874,1,True,37
XGBoost_r49_BAG_L1,-26.40674861338284,-26.40674861338284,root_mean_squared_error,0.02866983413696289,0.032318115234375,7.920380353927612,0.02866983413696289,0.032318115234375,7.920380353927612,1,True,66
RandomForest_r34_BAG_L1,-26.448045532904807,-26.448045532904807,root_mean_squared_error,0.01591801643371582,0.036537885665893555,0.39993810653686523,0.01591801643371582,0.036537885665893555,0.39993810653686523,1,True,56
XGBoost_r98_BAG_L1,-26.45260160555216,-26.45260160555216,root_mean_squared_error,0.03637576103210449,0.04449009895324707,9.721158981323242,0.03637576103210449,0.04449009895324707,9.721158981323242,1,True,45
XGBoost_r34_BAG_L1,-26.479760256920517,-26.479760256920517,root_mean_squared_error,0.023733139038085938,0.08240723609924316,6.776972055435181,0.023733139038085938,0.08240723609924316,6.776972055435181,1,True,103
CatBoost_r128_BAG_L1,-26.609395774514173,-26.609395774514173,root_mean_squared_error,0.009654998779296875,0.011626005172729492,48.732101917266846,0.009654998779296875,0.011626005172729492,48.732101917266846,1,True,59
XGBoost_r89_BAG_L1,-26.792731249928796,-26.792731249928796,root_mean_squared_error,0.019662141799926758,0.05431103706359863,2.84708571434021,0.019662141799926758,0.05431103706359863,2.84708571434021,1,True,25
NeuralNetFastAI_r194_BAG_L1,-26.798914406228796,-26.798914406228796,root_mean_squared_error,0.024311065673828125,0.10860681533813477,4.549105167388916,0.024311065673828125,0.10860681533813477,4.549105167388916,1,True,91
CatBoost_r70_BAG_L1,-26.860614612656697,-26.860614612656697,root_mean_squared_error,0.00766301155090332,0.009123086929321289,17.55641508102417,0.00766301155090332,0.009123086929321289,17.55641508102417,1,True,38
CatBoost_r13_BAG_L1,-26.891003051225944,-26.891003051225944,root_mean_squared_error,0.010303974151611328,0.010862112045288086,38.83665990829468,0.010303974151611328,0.010862112045288086,38.83665990829468,1,True,21
XGBoost_r22_BAG_L1,-26.906243057969018,-26.906243057969018,root_mean_squared_error,0.01930403709411621,0.0625910758972168,3.3080639839172363,0.01930403709411621,0.0625910758972168,3.3080639839172363,1,True,79
CatBoost_r9_BAG_L1,-26.92695102686394,-26.92695102686394,root_mean_squared_error,0.009513378143310547,0.010772943496704102,31.453753232955933,0.009513378143310547,0.010772943496704102,31.453753232955933,1,True,14
CatBoost_r86_BAG_L1,-26.945715245510904,-26.945715245510904,root_mean_squared_error,0.006987094879150391,0.00841212272644043,33.05935502052307,0.006987094879150391,0.00841212272644043,33.05935502052307,1,True,48
LightGBM_r143_BAG_L1,-27.05772119577056,-27.05772119577056,root_mean_squared_error,0.009046077728271484,0.024508953094482422,2.70015287399292,0.009046077728271484,0.024508953094482422,2.70015287399292,1,True,53
LightGBM_r96_BAG_L1,-27.103942689751445,-27.103942689751445,root_mean_squared_error,0.038698673248291016,0.05903887748718262,1.207259178161621,0.038698673248291016,0.05903887748718262,1.207259178161621,1,True,15
LightGBM_r196_BAG_L1,-27.177056320991827,-27.177056320991827,root_mean_squared_error,0.029819011688232422,0.04769086837768555,3.850867986679077,0.029819011688232422,0.04769086837768555,3.850867986679077,1,True,40
LightGBM_BAG_L1,-27.19306470941393,-27.19306470941393,root_mean_squared_error,0.004606962203979492,0.012002944946289062,2.1624319553375244,0.004606962203979492,0.012002944946289062,2.1624319553375244,1,True,2
CatBoost_BAG_L1,-27.19776322722529,-27.19776322722529,root_mean_squared_error,0.0069539546966552734,0.1525869369506836,8.450324058532715,0.0069539546966552734,0.1525869369506836,8.450324058532715,1,True,4
CatBoost_r12_BAG_L1,-27.209600041298113,-27.209600041298113,root_mean_squared_error,0.008244037628173828,0.008975982666015625,23.96435785293579,0.008244037628173828,0.008975982666015625,23.96435785293579,1,True,92
CatBoost_r180_BAG_L1,-27.220444135386362,-27.220444135386362,root_mean_squared_error,0.008105993270874023,0.009717941284179688,27.324146032333374,0.008105993270874023,0.009717941284179688,27.324146032333374,1,True,85
CatBoost_r50_BAG_L1,-27.222856302052055,-27.222856302052055,root_mean_squared_error,0.007339000701904297,0.008183002471923828,6.914905786514282,0.007339000701904297,0.008183002471923828,6.914905786514282,1,True,29
XGBoost_r31_BAG_L1,-27.225274660748205,-27.225274660748205,root_mean_squared_error,0.03297996520996094,0.050436973571777344,3.8256049156188965,0.03297996520996094,0.050436973571777344,3.8256049156188965,1,True,73
CatBoost_r177_BAG_L1,-27.26522866390898,-27.26522866390898,root_mean_squared_error,0.0073490142822265625,0.008353948593139648,9.781208038330078,0.0073490142822265625,0.008353948593139648,9.781208038330078,1,True,10
CatBoost_r69_BAG_L1,-27.279236962093833,-27.279236962093833,root_mean_squared_error,0.006231069564819336,0.007570028305053711,7.633481025695801,0.006231069564819336,0.007570028305053711,7.633481025695801,1,True,33
CatBoost_r60_BAG_L1,-27.321555219064386,-27.321555219064386,root_mean_squared_error,0.006612062454223633,0.007534027099609375,9.379479169845581,0.006612062454223633,0.007534027099609375,9.379479169845581,1,True,76
CatBoost_r198_BAG_L1,-27.388961699124504,-27.388961699124504,root_mean_squared_error,0.0061931610107421875,0.007875680923461914,16.084226846694946,0.0061931610107421875,0.007875680923461914,16.084226846694946,1,True,99
LightGBM_r188_BAG_L1,-27.39651554349639,-27.39651554349639,root_mean_squared_error,0.00860595703125,0.03379511833190918,0.8703198432922363,0.00860595703125,0.03379511833190918,0.8703198432922363,1,True,23
LightGBM_r121_BAG_L1,-27.400383285855956,-27.400383285855956,root_mean_squared_error,0.009569883346557617,0.03519177436828613,3.1304190158843994,0.009569883346557617,0.03519177436828613,3.1304190158843994,1,True,83
LightGBM_r42_BAG_L1,-27.406122421367847,-27.406122421367847,root_mean_squared_error,0.005725860595703125,0.011799097061157227,2.603627920150757,0.005725860595703125,0.011799097061157227,2.603627920150757,1,True,104
CatBoost_r167_BAG_L1,-27.47084373946606,-27.47084373946606,root_mean_squared_error,0.006448030471801758,0.008205175399780273,14.884729146957397,0.006448030471801758,0.008205175399780273,14.884729146957397,1,True,42
CatBoost_r5_BAG_L1,-27.47227208675757,-27.47227208675757,root_mean_squared_error,0.007226228713989258,0.00904393196105957,7.328144073486328,0.007226228713989258,0.00904393196105957,7.328144073486328,1,True,67
CatBoost_r137_BAG_L1,-27.483758133553977,-27.483758133553977,root_mean_squared_error,0.008569002151489258,0.007899045944213867,8.433536767959595,0.008569002151489258,0.007899045944213867,8.433536767959595,1,True,19
LightGBM_r161_BAG_L1,-27.491080510245766,-27.491080510245766,root_mean_squared_error,0.010521650314331055,0.031690120697021484,2.9563260078430176,0.010521650314331055,0.031690120697021484,2.9563260078430176,1,True,36
CatBoost_r49_BAG_L1,-27.519242724147507,-27.519242724147507,root_mean_squared_error,0.00678706169128418,0.007314920425415039,6.896023988723755,0.00678706169128418,0.007314920425415039,6.896023988723755,1,True,51
CatBoost_r163_BAG_L1,-27.538787221548247,-27.538787221548247,root_mean_squared_error,0.006104946136474609,0.012172698974609375,7.865225315093994,0.006104946136474609,0.012172698974609375,7.865225315093994,1,True,98
LightGBM_r131_BAG_L1,-27.54527193488279,-27.54527193488279,root_mean_squared_error,0.010159015655517578,0.02863597869873047,2.5231051445007324,0.010159015655517578,0.02863597869873047,2.5231051445007324,1,True,12
XGBoost_r95_BAG_L1,-27.546349966530926,-27.546349966530926,root_mean_squared_error,0.019335269927978516,0.07109379768371582,4.012588262557983,0.019335269927978516,0.07109379768371582,4.012588262557983,1,True,102
LightGBM_r130_BAG_L1,-27.58860839541,-27.58860839541,root_mean_squared_error,0.009390115737915039,0.03367495536804199,2.2055931091308594,0.009390115737915039,0.03367495536804199,2.2055931091308594,1,True,27
LightGBM_r135_BAG_L1,-27.763707730349534,-27.763707730349534,root_mean_squared_error,0.012545108795166016,0.040374040603637695,2.4976119995117188,0.012545108795166016,0.040374040603637695,2.4976119995117188,1,True,78
LightGBM_r30_BAG_L1,-27.898910875527626,-27.898910875527626,root_mean_squared_error,0.030745983123779297,0.044838905334472656,3.895537853240967,0.030745983123779297,0.044838905334472656,3.895537853240967,1,True,65
ExtraTrees_r126_BAG_L1,-27.934150572117108,-27.934150572117108,root_mean_squared_error,0.017824888229370117,0.05171918869018555,0.5843088626861572,0.017824888229370117,0.05171918869018555,0.5843088626861572,1,True,95
NeuralNetFastAI_r187_BAG_L1,-27.973528474281924,-27.973528474281924,root_mean_squared_error,0.03663277626037598,0.12811970710754395,6.259934902191162,0.03663277626037598,0.12811970710754395,6.259934902191162,1,True,100
LightGBM_r94_BAG_L1,-27.977179388331518,-27.977179388331518,root_mean_squared_error,0.01691293716430664,0.050956010818481445,2.4602370262145996,0.01691293716430664,0.050956010818481445,2.4602370262145996,1,True,57
LightGBMXT_BAG_L1,-27.985854067425667,-27.985854067425667,root_mean_squared_error,0.00860905647277832,0.29123687744140625,0.5872952938079834,0.00860905647277832,0.29123687744140625,0.5872952938079834,1,True,1
CatBoost_r143_BAG_L1,-28.12547883362299,-28.12547883362299,root_mean_squared_error,0.009111881256103516,0.011050939559936523,95.1300699710846,0.009111881256103516,0.011050939559936523,95.1300699710846,1,True,70
CatBoost_r6_BAG_L1,-28.13345905897464,-28.13345905897464,root_mean_squared_error,0.0077779293060302734,0.008552074432373047,10.609333038330078,0.0077779293060302734,0.008552074432373047,10.609333038330078,1,True,81
LightGBM_r15_BAG_L1,-28.156859317503017,-28.156859317503017,root_mean_squared_error,0.009510993957519531,0.029999971389770508,2.90392804145813,0.009510993957519531,0.029999971389770508,2.90392804145813,1,True,46
ExtraTrees_r172_BAG_L1,-28.29603243008002,-28.29603243008002,root_mean_squared_error,0.01681828498840332,0.02983880043029785,0.3177831172943115,0.01681828498840332,0.02983880043029785,0.3177831172943115,1,True,32
NeuralNetFastAI_r37_BAG_L1,-28.34046976539503,-28.34046976539503,root_mean_squared_error,0.037322998046875,0.15243816375732422,6.0927629470825195,0.037322998046875,0.15243816375732422,6.0927629470825195,1,True,49
NeuralNetFastAI_r11_BAG_L1,-28.343508242719633,-28.343508242719633,root_mean_squared_error,0.026755094528198242,0.08391594886779785,4.4341137409210205,0.026755094528198242,0.08391594886779785,4.4341137409210205,1,True,30
ExtraTrees_r178_BAG_L1,-28.381928548321095,-28.381928548321095,root_mean_squared_error,0.015526294708251953,0.026410341262817383,0.16981768608093262,0.015526294708251953,0.026410341262817383,0.16981768608093262,1,True,71
NeuralNetFastAI_r4_BAG_L1,-28.388142591679276,-28.388142591679276,root_mean_squared_error,0.01969313621520996,0.08856391906738281,4.60542106628418,0.01969313621520996,0.08856391906738281,4.60542106628418,1,True,94
NeuralNetFastAI_r102_BAG_L1,-28.45487849273811,-28.45487849273811,root_mean_squared_error,0.03363299369812012,0.11286616325378418,4.366137981414795,0.03363299369812012,0.11286616325378418,4.366137981414795,1,True,20
